Attr1;Attr2;Attr3;Attr4;Attr5;Attr6;Attr7;Attr8;Attr9;Attr10;Attr11;Attr12;Attr13;Attr14;Attr15;Attr16;Attr17;Attr18;Attr19;Attr20;Attr21;Attr22;Attr23;Attr24;Attr25;Attr26;Attr27;Attr28;Attr29;Attr30;Attr31;Attr32;Attr33;Attr34;Attr35;Attr36;Attr37;Attr38;Attr39;Attr40;Attr41;Attr42;Attr43;Attr44;Attr45;Attr46;Attr47;Attr48;Attr49;Attr50;Attr51;Attr52;Attr53;Attr54;Attr55;Attr56;Attr57;Attr58;Attr59;Attr60;Attr61;Attr62;Attr63;Attr64;class
-0.073969;0.98931;0.057578;11.113;-79.735;0;-0.073969;0.01084;0.68497;0.010724;-0.048869;-0.14297;-0.10799;-0.073969;-4881.8;-0.074768;10.108;-0.073969;-0.10799;110.23;0.867;-0.0487;-0.10799;-0.099286;-0.0098396;-0.074768;-13.484;0.13553;36.869;12.617;-0.065965;551.89;15.789;0.82571;-0.081102;0.77913;1.298;0.29429;-0.1184;0.30286;-0.67714;-0.071099;222.88;112.64;-0.35756;0.7027;92.433;-0.0487;-0.071099;0.58117;0.51738;0.63336;0.025242;0.69272;280;0.50045;-68.976;0.50452;26.443;33.111;32.403;275.69;13.239;16.123;TRUE
-0.50233;17.768;0.27054;13.881;23.093;-0.57245;-0.50233;-0.4374;35.784;-0.77717;-0.33023;-0.72066;-0.13585;-0.50233;-1334.1;-0.2736;0.56281;-0.50233;-0.14038;0.59805;11.191;-0.33092;-0.14038;-0.52158;-10.748;-0.2736;-19.228;82.437;30.035;0.4132;-0.14036;64.745;56.375;22.116;-0.35181;3.6;0.89347;0.29922;-0.098314;0.44737;-0.18819;-0.092479;66.887;66.289;-85.677;0.45578;0.54459;-0.34713;-0.097009;0.54457;0.69704;0.17738;-23.682;91.176;272.7;-0.098143;0.64636;10.916;-1.385;610.32;55.062;71.1;51.336;109.04;TRUE
-13.732;0.72154;0.39854;19.412;-95.718;-13.732;-13.732;0.18283;0.80944;0.13192;-0.72531;-32.429;-15.843;-13.732;-205.36;-17.773;13.859;-13.732;-16.965;60.745;0.50879;-0.72915;-16.965;0.94136;-13.732;-17.773;-11.254;22.389;4.187;0.74522;-16.965;249.42;20.559;12.065;-0.59489;0.80944;23.056;0.43001;-0.73494;13.921;-0.037675;-0.9008;104.84;44.093;-10.194;12.181;56.481;-0.81991;-10.129;11.392;0.42344;0.48641;0.74105;24.156;6130;0.23446;-10.41;18.759;22.597;60.087;82.779;190.94;19.116;45.471;TRUE
0.12639;0.80206;0.11915;12.052;-62.732;0;0.12639;0.24678;21.563;0.19794;0.14832;0.21765;0.078874;0.12639;1721.3;0.21205;12.468;0.12639;0.058614;25.757;0.77137;0.14032;0.058614;0.24227;0.12639;0.21205;63.986;0.397;31.372;0.34206;0.068785;105.2;34.715;25.135;0.14148;21.643;24.744;0.41928;0.065613;0.11334;0.14529;0.065076;107.33;81.569;0.83063;0.94315;27.55;0.096638;0.044816;0.87259;0.58072;0.28806;0.6595;1.397;163.43;0.065613;0.63855;0.9416;11.183;14.171;44.747;98.298;37.132;71.846;TRUE
0.040744;0.3916;0.32871;2.343;22.677;-0.0011166;0.046048;15.536;14.794;0.6084;0.047427;0.18813;0.05409;0.046048;1786.2;0.20434;25.536;0.046048;0.031126;57.78;0.76671;0.027352;0.027541;0.10283;0.58397;0.1908;19.842;0.77066;3.311;0.18287;0.031696;61.08;59.757;3.735;0.016757;14.794;23.106;0.75524;0.011327;0.5131;0.21286;0.018488;110.5;52.723;0.17398;13.862;58.442;-0.0066213;-0.0044757;14.644;0.24476;0.16734;14.264;17.707;672.67;0.011326;0.06697;0.97004;0.24135;63.171;6.923;60.388;60.442;34.685;FALSE
0.042339;0.37441;0.10979;14.186;5.124;0.159;0.053289;14.275;10.668;0.53446;0.053289;0.2032;0.1637;0.053289;990.68;0.36844;26.709;0.053289;0.063239;42.556;10.942;0.066423;0.050245;0.19891;0.53446;0.33919;0.84088;0.17483;43.887;0.43935;0.063239;121.18;3.012;0.1774;0.066423;0.87182;24.411;0.64662;0.078825;0.021683;0.081476;0.078825;158.69;116.13;0.43095;1.044;45.397;-0.018235;-0.02164;0.99367;0.26225;0.332;0.85111;10.297;2687;0.06259;0.079219;0.93741;0.20985;8.577;3.143;113.6;32.132;13.419;FALSE
0.084711;0.53108;-0.021895;0.95243;-39.167;0.20539;0.11347;0.83897;10.675;0.44557;0.11347;0.24652;0.13166;0.11347;761.79;0.47913;18.829;0.11347;0.058712;29.443;0.97808;0.12128;0.043831;0.29107;0.44557;0.42498;0.66989;-0.038986;42.606;0.26973;0.058712;92.795;39.334;0.22837;0.12128;19.799;39.904;0.51636;0.062754;0.029626;0.066573;0.062754;80.219;50.776;0.54337;0.61373;31.429;-0.019707;-0.010197;0.82547;0.46029;0.25423;0.79338;0.91944;-398.96;0.063207;0.19012;0.93679;0.15888;12.397;71.884;86.93;41.988;34.413;FALSE
0.1296;0.76404;0.57082;24.287;71.645;0.23193;0.15918;0.30882;10.493;0.23596;0.15918;0.39842;0.040849;0.15918;1729.1;0.2111;13.088;0.15918;0.040315;45.222;0.84592;0.1795;0.032822;0.29125;0.23596;0.17237;0.47703;19.248;41.032;0.18275;0.040315;38.756;9.418;0.23493;0.1795;39.503;1.32;0.60047;0.045461;0.12334;0.13832;0.045461;85.146;39.924;0.26492;12.043;47.453;0.17739;0.044927;1.27;0.39953;0.10618;79.565;20.248;7238.6;0.04701;0.54924;0.95299;15.448;80.713;91.424;36.934;98.826;133.14;FALSE
0.11235;17.399;-0.51425;0.43445;-82.297;-0.32201;0.11235;-0.42524;34.144;-0.73987;0.14262;0.12356;0.059388;0.11235;3131.9;0.11654;0.57476;0.11235;0.032906;28.145;12.795;0.14252;0.032906;0.13402;-0.20994;0.11654;47.096;-0.85005;33.369;0.50184;0.041769;95.228;38.399;20.068;-0.071064;36.344;0.15865;0.0907;-0.020813;0.029033;0.24897;0.041742;39.409;11.264;0.42675;0.31857;27.522;0.052104;0.01526;0.22705;0.9093;0.26042;-1.223;0.14992;-1117;-0.020766;-0.15185;0.96072;-11.226;12.969;32.404;97.205;37.549;56.438;TRUE
-0.18122;0.62816;-0.039983;0.92438;-136.26;-0.000258;-0.18122;0.59194;10.065;0.37184;-0.1541;-0.34271;-0.13196;-0.18122;-1726.3;-0.21143;15.919;-0.18122;-0.18005;139.42;0.88874;-0.1541;-0.18005;-0.17858;0.034766;-0.21143;-56.819;-0.078213;42.869;0.61649;-0.16117;235.36;22.225;18.708;-0.11132;10.219;1.633;0.43574;-0.11061;0.018464;-0.19811;-0.15311;173.72;34.302;-0.47138;0.19734;119.4;-0.2025;-0.2012;0.77812;0.52877;0.44995;0.72736;0.85236;0.92438;0.18524;-0.48736;0.88519;0.17185;2.618;10.641;191.76;19.034;19.688;TRUE
0.067715;0.43376;0.40071;19.894;-84.846;0;0.067715;13.054;2.928;0.56624;0.089239;0.1672;0.35156;0.067715;153.8;23.732;23.054;0.067715;0.023126;68.138;10.402;0;0.023126;0.21212;0.50104;23.732;0;20.625;34.867;0.12198;0.052853;92.685;39.381;3.677;0.0583;2.928;9.461;0.59363;0.019911;0.19738;0.015035;0;90.473;22.335;0.12388;0.63978;125.09;-0.96166;-0.32843;18.575;0.40501;0.25393;29.145;30.555;1229;0.45529;0.11959;0.55216;0.048367;53.568;16.342;50.487;72.296;15.071;FALSE
0.023162;0.28049;0.38524;25.627;-49.213;0.23499;0.037613;2.536;0.99491;0.71132;0.037613;0.15258;0.13302;0.037613;811.56;0.44975;35.652;0.037613;0.039661;166.14;0.9428;0.070854;0.024424;0.30538;0.71132;0.39823;0.74331;10.462;42.715;0.24381;0.039661;94.396;38.667;0.25261;0.070854;10.352;58.906;0.74529;0.074711;0.49103;0.057855;0.074711;196.56;30.422;0.053658;0.81167;165.29;-0.017683;-0.018646;22.523;0.24652;0.25862;19.317;20.239;7197.7;-0.0051166;0.032562;10.051;0.047753;2.197;11.998;94.879;3.847;25.754;FALSE
0.097964;0.1438;0.36283;3.545;215.22;0.20684;0.12191;55.375;1.227;0.7963;0.12191;0.8551;0.28012;0.12191;330.54;11.042;69.541;0.12191;0.21506;67.806;12.858;0.10359;0.17282;0.25827;0.7963;0.93773;22.421;0.73358;55.516;-0.095291;0.21506;112.63;32.406;0.72036;0.10359;0.5947;324.3;0.79753;0.18274;14.112;0.033656;0.18274;195.87;128.07;0.93027;28.063;83.197;0.066707;0.11768;35.146;0.14257;0.30858;1.61;16.125;129220;0.18499;0.12302;0.81501;0.001549;5.383;28.501;91.796;39.762;11.461;FALSE
-0.13633;0.72476;0.007493;10.137;-83.545;0;-0.14839;0.37977;12.693;0.27524;-0.046517;-0.27193;-0.067112;-0.14839;-3105.3;-0.11754;13.798;-0.14839;-0.1169;89.669;0.96315;-0.046715;-0.1074;0.75896;0.20629;-0.1009;-0.45856;0.016769;46.086;0.567;-0.087849;148.21;25.401;19.125;-0.074608;12.693;41.257;0.33374;-0.058777;0.014133;14.653;-0.036803;156.85;67.184;-0.43718;0.44229;82.114;-0.10992;-0.086594;0.76328;0.5457;0.39368;0.61601;0.74694;304.27;-0.058777;-0.49531;11.723;0.21254;40.705;54.328;156.92;23.261;28.409;TRUE
0.041795;0.44894;0.14376;13.925;-72.875;0;0.041795;12.275;10.029;0.55106;0.053248;0.1141;0.06012;0.041795;2717.8;0.1343;22.275;0.041795;0.041675;82.344;10.937;0.0012982;0.041675;0.14854;0.14506;0.1343;0.11334;0.29343;52.963;0.44533;0.10186;181.32;2.013;16.425;0.057893;10.029;88.411;0.58317;0.057727;0.17843;0.75594;0.0012944;161.85;79.508;0.18473;0.77482;111.99;-0.0172;-0.01715;11.362;0.3663;0.49677;11.248;11.903;28439;0.26475;0.075844;0.7547;0.058255;44.326;45.907;133.32;27.378;20.469;FALSE
0.096112;0.28201;-0.024083;0.91115;-22.154;11.641;0.12873;20.862;10.815;0.58831;0.12873;0.47491;0.090294;0.12873;508.6;0.71765;3.546;0.12873;0.057432;15.371;0.77014;0.12259;0.042881;14.378;0.58831;0.602;0.59148;-0.031982;4.036;0.10462;0.057432;47.736;76.462;0.4347;0.12259;23.109;13.936;0.59926;0.054693;0.19199;0.047244;0.054693;31.744;16.373;10.182;0.56292;16.623;0.048932;0.021831;0.87577;0.27106;0.13078;0.78127;0.79581;-261.62;0.075323;0.16337;0.92468;0.018611;23.746;22.293;44.141;8.269;29.765;FALSE
0.027061;0.65179;-0.083963;0.7439;-216.35;0.042369;0.032832;0.53424;0.48421;0.34821;0.085295;0.10014;0.086922;0.032832;5652.4;0.064574;15.342;0.032832;0.067805;39.717;11.848;0.026532;0.055886;0.044254;0.33735;0.05572;0.50573;-0.11105;61.783;13.461;0.067805;283.86;12.907;0.64921;0.062656;0.48421;0.59023;0.67215;0.1294;0.33896;0.60707;0.054794;100.07;60.357;0.51359;0.58319;45.449;0.017275;0.035677;0.37418;0.32785;0.77479;0.46053;0.88895;0.7439;0.1294;0;0.87519;0.93028;9.19;60.474;247.13;14.769;0.6404;FALSE
0.078323;0.54517;0.086014;11.584;-55.44;0.19764;0.098868;0.72693;10.595;0.3963;0.098868;0.18204;0.1155;0.098868;1564.2;0.23335;18.343;0.098868;0.089767;75.324;10.525;0.073216;0.071113;0.24246;0.3963;0.19566;0.70429;0.23192;48.872;0.45552;0.089767;190.69;19.141;0.1343;0.073216;11.646;195.73;0.39835;0.066476;0.10664;0.17647;0.066476;189.3;113.98;0.34459;0.73988;79.803;0.044869;0.040738;1.154;0.54312;0.52244;10.686;10.741;6633.6;0.056115;0.19763;0.94388;0.0051804;48.457;32.024;179.99;20.279;29.697;FALSE
0.0049715;0.74115;0.25516;14.713;-28.033;0;0.042072;0.34926;1.631;0.25885;0.063677;0.077705;0.045935;0.042072;3610.8;0.10109;13.493;0.042072;0.025795;51.223;0.88782;0.023397;0.0030481;0.10723;0.1809;0.051029;1.083;12.545;32.843;0.44717;0.037466;121.39;30.068;21.966;0.003002;1.631;28.426;0.45857;0.0018406;0.29977;0.43923;0.014345;141.95;90.724;0.02172;10.485;51.317;-0.0094513;-0.0057948;10.748;0.54143;0.33258;12.726;22.545;491.03;0.0018406;0.019206;0.97521;0.77154;71.257;40.232;121.17;30.124;80.187;FALSE
0.008134;0.61965;0.20371;13.377;-70.381;0.062535;0.006713;0.59847;10.106;0.37084;0.006713;0.011129;0.013169;0.006713;9184.2;0.039742;16.138;0.006713;0.00359;109.69;12.855;0.01901;0.00435;0.061114;0.37084;0.042035;0.10273;10.552;47.492;0.32311;0.00359;118.98;30.677;0.030678;0.01901;18.792;14.911;0.38727;0.010165;0.025577;0.55175;0.010165;154.49;44.8;0.014474;0.40609;110.84;0.001097;0.000586;13.022;0.60322;0.32597;19.209;20.059;11436;0.010458;0.021934;0.98954;0.044301;33.277;81.473;117.74;31.001;96.865;FALSE
0.038759;0.76971;-0.21293;0.67786;-18.544;0;0.04812;0.299;48.381;0.23014;0.050906;0.072801;0.016724;0.04812;3472.3;0.10512;12.992;0.04812;0.009946;2.276;10.222;0.05048;0.0080111;0.14644;0.20281;0.092957;18.118;-0.38577;3.821;0.15752;0.010515;50.653;72.506;62.264;0.075261;48.434;57.122;0.3033;0.015556;0.014672;0.30811;0.010434;33.071;30.795;12.847;0.060315;22.977;0.01769;0.0036563;0.58211;0.66098;0.13792;0.41696;0.5495;-1410;0.015544;0.16841;0.9895;0.31787;160.37;11.853;49.866;73.196;87.655;TRUE
0.087392;0.43411;0.2389;19.159;16.556;0.15697;0.11133;12.302;11.601;0.53407;0.11133;0.42682;0.14155;0.11133;1021.4;0.35737;23.036;0.11133;0.10158;64.564;0.69426;0.13429;0.079736;0.20329;0.53407;0.30222;14.215;0.47757;48.254;0.26231;0.10158;100.78;36.219;0.30935;0.13429;12.303;17.653;0.70733;0.12253;0.57589;0.080137;0.12253;116.4;51.838;0.45077;11.726;74.902;0.090488;0.08256;11.512;0.26085;0.2761;10.676;1.414;15983;0.13803;0.16364;0.86197;0.32443;56.533;70.411;86.867;42.018;21.909;FALSE
0.014191;0.29818;0.16232;16.311;10.149;0.042046;0.019565;18.867;0.98985;0.56259;0.019565;0.076073;0.041745;0.019565;1023.5;0.35663;33.536;0.019565;0.0076805;13.07;10.692;0.016004;0.0055707;0.054442;0.56259;0.33861;0.062186;0.27962;40.873;0.074618;0.0076805;36.477;10.006;0.053671;0.016004;2.602;80.086;0.60358;0.0062824;0.42421;0.095382;0.0062824;44.476;31.406;0.15557;12.765;12.937;-0.070773;-0.027782;14.069;0.25719;0.099938;0.96916;10.398;1984.8;-0.010255;0.025224;10.103;0.072865;27.927;11.622;36.851;99.047;43.883;FALSE
-0.15457;0.77375;-0.044375;0.94073;-63.689;0;-0.15457;0.29252;23.019;0.22634;-0.12026;-0.20644;-0.036913;-0.15457;-3323.8;-0.10981;12.924;-0.15457;-0.067149;60.019;2.54;-0.12249;-0.067149;-0.0634;-0.086163;-0.10981;-35.704;-0.15014;32.041;0.31876;-0.052254;112.12;33.133;32.062;-0.13513;23.601;13.07;0.25127;-0.058705;0.058364;-0.48767;-0.053212;104.76;44.741;-0.40836;0.56389;55.69;-0.19209;-0.083448;0.91034;0.74875;0.30182;0.76582;0.85017;-71;-0.058919;-0.68291;10.512;0.11015;60.814;8.158;118.73;30.743;77.884;TRUE
0.13184;0.68211;-0.018632;0.96795;-27.135;0.17797;0.13184;0.46603;16.565;0.31789;0.1529;0.22677;0.13852;0.13184;1085;0.33641;1.466;0.13184;0.079589;19.02;1.112;0.15177;0.079589;0.23431;0.20287;0.33641;72.075;-0.042614;41.032;0.4016;0.089913;140.11;26.051;22.205;0.14193;16.565;51.598;0.41022;0.085681;0.032168;0.091169;0.091619;119.88;100.86;15.273;0.81948;20.802;0.054146;0.032686;0.82503;0.5814;0.38386;0.72704;0.93822;-236.32;0.085681;0.41475;0.92133;0.29047;19.19;36.189;128.1;28.492;37.887;FALSE
0.23078;0.71126;0.24571;13.863;-0.91826;-0.21152;0.27902;0.40595;34.465;0.28874;0.3092;0.43863;0.080959;0.27902;930.43;0.39229;1.406;0.27902;0.080959;24.662;13.273;0.29499;0.066962;0.48014;0.20198;0.32447;15.027;20.789;37.606;0.18521;0.086514;81.516;49.973;44.694;0.29169;34.776;25.064;0.31463;0.084634;0.14757;0.080373;0.085591;83.449;58.787;0.99106;0.51364;26.737;0.29499;0.085591;12.398;0.63613;0.20011;2.443;26.621;1416;0.17355;0.79928;0.82601;0.089675;14.8;62.088;67.369;54.179;29.16;TRUE
0.012675;0.78247;0.13755;14.054;0.92199;0.063161;0.013442;0.27607;10.651;0.21602;0.013442;0.039618;0.050012;0.013442;5481.4;0.066588;1.278;0.013442;0.012903;45.376;10.909;0.068205;0.012167;0.083067;0.21602;0.065608;0.69728;0.26292;42.899;0.71193;0.012903;126.61;28.829;0.087166;0.068205;10.477;0.78373;0.6592;0.065467;0.13676;0.24072;0.065467;150.81;105.43;0.097867;10.237;48.329;0.029543;0.028358;0.60941;0.3393;0.34687;0.41292;1.26;2681.7;0.061102;0.058677;0.9389;20.516;80.439;3.462;118.87;30.705;19.914;FALSE
0.020484;0.6766;-0.1592;0.52744;-45.424;0;0.020484;0.47799;23.747;0.3234;0.048367;0.060802;0.036445;0.020484;2853.5;0.12791;1.478;0.020484;0.0086259;10.145;10.788;0;0.0086259;0.1219;0.24023;0.12791;0;-0.1936;4.08;0.28275;0.019883;63.601;57.389;28.575;0.0050645;23.747;0.46888;0.5616;0.0021327;0.046156;0.3414;0;24.922;14.776;0.31033;0.33152;12.461;-0.066062;-0.027819;0.26262;0.33689;0.17425;0.39329;0.68295;-1914;0.18584;0.063338;0.82593;0.73652;35.977;24.702;51.782;70.488;28.878;FALSE
0.048529;0.80481;-0.1992;0.68723;-17.57;0;0.062548;0.24273;48.285;0.19535;0.069327;0.09821;0.019431;0.062548;3131;0.11658;12.425;0.062548;0.012954;22.593;15.706;0.069173;0.01005;0.10031;0.16746;0.099158;10.205;-0.35415;38.123;0.16416;0.013847;48.918;74.787;59.183;0.076413;48.322;31.587;0.32445;0.015825;0.022013;0.26708;0.014326;32.026;29.766;16.237;0.06894;22.903;0.037899;0.007849;0.54384;0.63688;0.13371;0.3473;0.57683;-1293;0.015825;0.24842;0.98569;0.66088;161.56;12.262;48.143;75.815;85.845;TRUE
0.026898;10.541;-0.54159;0.48434;-103.12;0.10226;0.037229;-0.079195;0.98633;-0.083481;0.037229;0.035446;0.063796;0.037229;2181.3;0.16733;0.94866;0.037229;0.013465;28.964;0.89168;-0.012484;0.0097286;0.10369;-0.083481;0.15753;-0.044534;-11.024;42.376;0.36812;0.013465;136.76;2.669;-0.011843;-0.012484;29.833;75.706;-0.079659;-0.0045151;0.036566;0.27359;-0.0045151;62.086;33.121;0.1226;0.27545;28.568;-0.15164;-0.054846;0.48259;10.503;0.37468;-0.16992;-0.16214;-9359.7;-0.013863;-0.32221;10.139;-0.045775;12.602;11.02;138.65;26.325;56.276;FALSE
0.11876;0.35325;0.22151;1.629;4.298;0.34991;0.1474;18.101;10.571;0.63942;0.1474;0.41858;0.069644;0.1474;683.55;0.53398;28.309;0.1474;0.054423;25.191;11.816;0.14647;0.043847;0.43479;0.63942;0.45289;0.57168;0.51958;55.878;0.12892;0.054423;50.169;72.755;0.41463;0.14647;27.152;352.25;0.64052;0.054078;0.024316;0.061877;0.054078;76.155;50.965;0.63532;10.982;26.63;0.10524;0.038857;1.624;0.35215;0.13745;14.998;15.024;85747;0.054049;0.18573;0.94595;0.0017171;14.49;71.618;47.457;76.912;63.528;FALSE
0.012072;0.58042;-0.058779;0.88047;-56.554;0;0.019392;0.72269;19.855;0.41946;0.047037;0.039435;0.039274;0.019392;2716.8;0.13435;17.229;0.019392;0.0097669;43.774;0.6513;0.042609;0.0060802;0.10684;0.39395;0.12174;15.413;-0.10368;39.029;0.28969;0.023109;92.14;40.307;34.149;0.037534;20.291;24.672;0.49844;0.018904;0.021363;0.19119;0.02146;77.663;33.888;0.050699;0.5056;43.85;-0.015978;-0.0080474;0.74596;0.49175;0.2481;0.73991;0.87922;-470;0.018896;0.028781;0.97683;0.18828;83.382;10.771;90.399;40.376;35.023;TRUE
0.088247;0.77795;0.074242;11.348;-487.97;0;0.079775;0.28544;24.871;0.22205;0.11637;0.14484;0.040762;0.079775;2800.9;0.13032;12.854;0.079775;0.032075;22.949;10.024;0.038914;0.035482;0.20283;0.18304;0.14121;10.634;0.19799;5.04;0.30781;0.044071;81.756;44.692;31.642;0.028149;24.871;39.815;0.33976;0.011318;0.02287;0.42849;0.015646;89.877;66.929;0.56434;0.85088;23.187;0.01731;0.00696;0.80343;0.55078;0.22375;0.59218;0.90609;8141;0.011318;0.39742;10.044;0.53009;15.905;54.536;80.83;45.156;66.328;FALSE
